Commoditygroups,DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDateMonth,CountryofOrigin,ArrivalatDPE,Forimport,CommodityCode,Descriptionofcommodity,Producttemperature,Commodityintendedfor,Documentarycheck,AcceptableforTransfer,NotAcceptable,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,Acceptableforreleaseforfreecirculation,NotAcceptable2,ReasonforRefusal,DPEName,NoOfConsignments,NetWeightKg
"Other/Preparations of vegetables, fruit, nuts",2019-08-28,2019,Q3,8,28,2019-09-09,India,2019-08-28,For import,200811,Groundnuts,Ambient,Human consumption,Not satisfactory,-,Destruction,/,/,no,-,-,-,-,-, ,1,252
"Other/Preparations of vegetables, fruit, nuts",2019-08-29,2019,Q3,8,29,2019-09-02,India,2019-08-27,For import,20081110,Peanut butter,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,8640
"Other/Preparations of vegetables, fruit, nuts",2019-08-29,2019,Q3,8,29,2019-09-02,Turkey,2019-08-18,For import,2008199320,Pistachios,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,197
"Other/Preparations of vegetables, fruit, nuts",2019-08-29,2019,Q3,8,29,2019-09-05,Japan,2019-09-05,For import,20059100,Bamboo shoots,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,13416
"Other/Preparations of vegetables, fruit, nuts",2019-08-30,2019,Q3,8,30,2019-09-02,United States,2019-09-03,For import,20081198,In immediate packings of a net content not exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,612
"Other/Preparations of vegetables, fruit, nuts",2019-08-30,2019,Q3,8,30,2019-09-02,Turkey,2019-08-30,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,3000
"Other/Preparations of vegetables, fruit, nuts",2019-09-02,2019,Q3,9,2,2019-09-03,China,2019-08-31,For import,20081110,Peanut butter,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,1191
"Other/Preparations of vegetables, fruit, nuts",2019-09-03,2019,Q3,9,3,2019-09-03,Argentina,2019-09-06,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,22000
"Other/Preparations of vegetables, fruit, nuts",2019-09-03,2019,Q3,9,3,2019-09-06,Japan,2019-09-07,For import,20059100,Bamboo shoots,Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,120
"Other/Preparations of vegetables, fruit, nuts",2019-09-03,2019,Q3,9,3,2019-09-11,Argentina,2019-09-06,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,21920
"Other/Preparations of vegetables, fruit, nuts",2019-09-03,2019,Q3,9,3,2019-09-11,Argentina,2019-09-06,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,22000
"Other/Preparations of vegetables, fruit, nuts",2019-09-03,2019,Q3,9,3,2019-09-18,United States,2019-08-29,For import,200811,Groundnuts,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin B1,Satisfactory,Human consumption,-,-,"Southampton, P",1,375
"Other/Preparations of vegetables, fruit, nuts",2019-09-03,2019,Q3,9,3,2019-09-18,United States,2019-08-29,For import,200811,Groundnuts,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,"Southampton, P",1,375
"Other/Preparations of vegetables, fruit, nuts",2019-09-04,2019,Q3,9,4,2019-09-05,United States,2019-09-03,For import,20081110,Peanut butter,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,288
"Other/Preparations of vegetables, fruit, nuts",2019-09-04,2019,Q3,9,4,2019-09-11,Argentina,2019-09-13,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,22220
"Other/Preparations of vegetables, fruit, nuts",2019-09-04,2019,Q3,9,4,2019-09-11,Argentina,2019-09-13,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,22040
