DeclarationDate,YearOfDeclaration,QuarterOfDeclaration,MonthOfDeclaration,DayOfDeclaration,DecisionControlDate_Month,ControlDate,ConsignorCountryCode,DPE_Name,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,DescriptionOfCommodity,TotalNumberOfPackages,TotalNetWeight_kg,CommodityIntendedFor,DocumentaryCheck,AcceptableForTransfer,NotAcceptable1,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,AcceptableForReleaseForFreeCirculation,NotAcceptable2,ReasonForRefusal,DecsionControlDate,NumberOfConsignments
2017-09-08,2017,Q3,Sep,8,2017-09,,US,Liverpool,US,China,NL,GB,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,2502,205.49,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-08,2017,Q3,Sep,8,2017-09,,TR,Liverpool,TR,Turkey,IE,GB,8062030,Sultanas,8400,105000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-08,2017,Q3,Sep,8,2017-09,,TR,Liverpool,TR,Turkey,IE,GB,8062030,Sultanas,8400,105000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-08,2017,Q3,Sep,8,2017-09,,TR,Liverpool,TR,Turkey,IE,GB,8062030,Sultanas,8400,105000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-08,2017,Q3,Sep,8,2017-09,,TR,Liverpool,TR,Turkey,IE,GB,8062030,Sultanas,8400,105000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-08,2017,Q3,Sep,8,2017-09,,TR,Liverpool,TR,Turkey,IE,GB,8062030,Sultanas,8400,105000,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-08,2017,Q3,Sep,8,2017-09,,IN,Heathrow,IN,India,GB,GB,14049000,Other,165,660,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-08,2017,Q3,Sep,8,2017-09,,IN,Heathrow,IN,India,GB,GB,14049000,Other,165,660,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-08,2017,Q3,Sep,8,2017-09,,IN,Heathrow,IN,India,GB,GB,14049000,Other,125,500,Human consumption,Satisfactory,yes,-,Not Done,Not Done,No,-,-,Human consumption,-,-,,1
2017-09-08,2017,Q3,Sep,8,2017-09,,IN,Heathrow,IN,India,GB,GB,7099990,Other,271,1053,Human consumption,Satisfactory,yes,-,Satisfactory,Satisfactory,Yes,.RESIDUES OF PESTICIDES,satisfactory,Human consumption,-,-,,1
