DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDate(Month),ConsignorCountryCode,DPEName,ConsigneeCountry,CountryOfOrigin,ImporterCountry,DeliveryCountry,CommodityCode,Descriptionofcommodity,Totalnumberofpackages,TotalNetWeight(kg),Commodityintendedfor,DocumentaryCheck,Acceptablefortransfer,NotAcceptable1,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor:,Results:,Acceptableforreleaseforfreecirculation,NotAcceptable2,ReasonforRefusal,NoOfConsignments
2018-11-29,2018,Q4,Nov,29,2018-12,TR,London Gateway,GB,Turkey,GB,GB,2008191320,Pistachios,700,7000,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-12-03,2018,Q4,Dec,3,2018-12,JP,"Southampton, P",GB,Japan,GB,GB,20049098,Other,50,134,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-03,2018,Q4,Dec,3,2018-12,AR,London Gateway,GB,Argentina,GB,GB,20081191,In immediate packings of a net content exceeding 1|kg,24,20400,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,1
2018-12-04,2018,Q4,Dec,4,2018-12,TR,London Gateway,GB,Turkey,GB,GB,2008999990,Other,7390,9053,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-04,2018,Q4,Dec,4,2018-12,LB,"Felixstowe, P",GB,Lebanon,GB,GB,2001909711,Not containing added sugar,292,2920,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-04,2018,Q4,Dec,4,2018-12,JP,"Southampton, P",GB,Japan,GB,GB,20039090,Other,5,48,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-05,2018,Q4,Dec,5,2018-12,TR,London Gateway,GB,Turkey,GB,GB,200799,"Other than 2007 10, 2007 91.",1400,21000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-05,2018,Q4,Dec,5,2018-12,TR,London Gateway,GB,Turkey,GB,GB,200799,"Other than 2007 10, 2007 91.",1400,21000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-05,2018,Q4,Dec,5,2018-12,TR,"Felixstowe, P",GB,Turkey,GB,GB,2008199320,Pistachios,61,439,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-05,2018,Q4,Dec,5,2018-12,TR,"Felixstowe, P",GB,Turkey,GB,GB,2008199320,Pistachios,210,504,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-05,2018,Q4,Dec,5,2018-12,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081995,Other,288,415,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
2018-12-06,2018,Q4,Dec,6,2018-12,TR,"Felixstowe, P",GB,Turkey,GB,GB,20081919,Other,320,8000,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,1
