CommoditiesGroup,Declaration,DeclarationYear,DeclarationQuarter,DeclarationMonth,DeclarationDay,CountryOfOrigin,ArrivalAtEntryPoint,Commodities,CommonNames,DocumentaryCheck,DocumentaryCheckResults,IdentityCheck,IdentityCheckResults,PhysicalCheck,PhysicalCheckResults,CommodityLaboratoryTest,CommodityLaboratoryTestResults,NetWeightKg,GrossWeightKg,NotAcceptable,NotAcceptableMeasureSelection,ReasonForRefusal,Decision,Year,Quarter,Month,Day
"Coffee, tea, mate and spices",2020-04-22,2020,Q2,4,22,India,2020-04-15,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,144,160,No,-,-,2020-04-27,2020,Q2,4,27
"Coffee, tea, mate and spices",2020-04-20,2020,Q2,4,20,India,2020-04-20,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,3000,3380,No,-,-,2020-04-21,2020,Q2,4,21
"Coffee, tea, mate and spices",2020-04-20,2020,Q2,4,20,India,2020-04-20,904220019,Other,Yes,Satisfactory,No,-,No,-,No,-,3125,3500,No,-,-,2020-04-21,2020,Q2,4,21
"Coffee, tea, mate and spices",2020-04-20,2020,Q2,4,20,India,2020-04-20,904219020,Peppers (sweet or other than sweet) (Capsicum spp.),Yes,Satisfactory,No,-,No,-,No,-,2250,2760,No,-,-,2020-04-21,2020,Q2,4,21
"Coffee, tea, mate and spices",2020-04-20,2020,Q2,4,20,India,2020-04-20,904220019,Other,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,1000,1100,No,-,-,2020-04-28,2020,Q2,4,28
"Coffee, tea, mate and spices",2020-04-20,2020,Q2,4,20,India,2020-04-15,904220090,Other,Yes,Satisfactory,No,-,No,-,No,-,125,175,No,-,-,2020-04-21,2020,Q2,4,21
"Coffee, tea, mate and spices",2020-04-21,2020,Q2,4,21,China,2020-04-23,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,864,959,No,-,-,2020-04-23,2020,Q2,4,23
"Coffee, tea, mate and spices",2020-04-23,2020,Q2,4,23,China,2020-04-12,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,Yes,Satisfactory,112,124,No,-,-,2020-05-05,2020,Q2,5,5
"Coffee, tea, mate and spices",2020-04-23,2020,Q2,4,23,China,2020-04-22,9021000,Green tea (not fermented) in immediate packings of a content not exceeding 3|kg,Yes,Satisfactory,No,-,No,-,No,-,520,619,No,-,-,2020-04-24,2020,Q2,4,24
"Coffee, tea, mate and spices",2020-04-23,2020,Q2,4,23,China,2020-04-22,9023000,"Black tea (fermented) and partly fermented tea, in immediate packings of a content not exceeding 3|kg",Yes,Satisfactory,No,-,No,-,No,-,20,619,No,-,-,2020-04-24,2020,Q2,4,24
